0,0.0000,0.0000,0.0000,7475.3149
1,-0.0940,-0.5376,-0.2592,2111.5105
2,-0.1789,-0.7849,-0.3766,880.6980
3,-0.2555,-0.8988,-0.4296,538.8638
4,-0.3245,-0.9514,-0.4533,399.8092
5,-0.3867,-0.9758,-0.4637,316.1682
6,-0.4426,-0.9872,-0.4682,254.5126
7,-0.4930,-0.9926,-0.4699,205.8479
8,-0.5383,-0.9952,-0.4704,166.6932
9,-0.5791,-0.9966,-0.4704,135.0293
10,-0.6158,-0.9973,-0.4702,109.3892
11,-0.6489,-0.9978,-0.4700,88.6197
12,-0.6786,-0.9981,-0.4697,71.7941
13,-0.7054,-0.9983,-0.4694,58.1631
14,-0.7295,-0.9985,-0.4691,47.1201
15,-0.7512,-0.9987,-0.4689,38.1738
16,-0.7708,-0.9988,-0.4687,30.9261
17,-0.7883,-0.9989,-0.4685,25.0544
18,-0.8042,-0.9990,-0.4683,20.2975
19,-0.8184,-0.9991,-0.4681,16.4438
20,-0.8312,-0.9992,-0.4680,13.3218
21,-0.8427,-0.9993,-0.4678,10.7925
22,-0.8531,-0.9994,-0.4677,8.7434
23,-0.8625,-0.9994,-0.4676,7.0833
24,-0.8709,-0.9995,-0.4675,5.7385
25,-0.8785,-0.9995,-0.4674,4.6490
26,-0.8853,-0.9996,-0.4674,3.7663
27,-0.8914,-0.9996,-0.4673,3.0512
28,-0.8969,-0.9997,-0.4672,2.4719
29,-0.9019,-0.9997,-0.4672,2.0026
30,-0.9064,-0.9997,-0.4671,1.6224
31,-0.9104,-0.9998,-0.4671,1.3144
32,-0.9140,-0.9998,-0.4670,1.0648
33,-0.9173,-0.9998,-0.4670,0.8626
34,-0.9202,-0.9998,-0.4670,0.6989
35,-0.9229,-0.9998,-0.4669,0.5662
36,-0.9252,-0.9999,-0.4669,0.4587
37,-0.9274,-0.9999,-0.4669,0.3716
38,-0.9293,-0.9999,-0.4669,0.3010
39,-0.9310,-0.9999,-0.4668,0.2439
40,-0.9326,-0.9999,-0.4668,0.1976
41,-0.9340,-0.9999,-0.4668,0.1601
42,-0.9353,-0.9999,-0.4668,0.1297
43,-0.9364,-0.9999,-0.4668,0.1051
44,-0.9374,-0.9999,-0.4668,0.0851
45,-0.9384,-0.9999,-0.4668,0.0690
46,-0.9392,-0.9999,-0.4668,0.0559
47,-0.9399,-1.0000,-0.4667,0.0453
48,-0.9406,-1.0000,-0.4667,0.0367
49,-0.9412,-1.0000,-0.4667,0.0297
50,-0.9418,-1.0000,-0.4667,0.0241
51,-0.9423,-1.0000,-0.4667,0.0195
52,-0.9427,-1.0000,-0.4667,0.0158
53,-0.9431,-1.0000,-0.4667,0.0128
54,-0.9434,-1.0000,-0.4667,0.0104
55,-0.9438,-1.0000,-0.4667,0.0084
56,-0.9441,-1.0000,-0.4667,0.0068
57,-0.9443,-1.0000,-0.4667,0.0055
58,-0.9446,-1.0000,-0.4667,0.0045
59,-0.9448,-1.0000,-0.4667,0.0036
60,-0.9450,-1.0000,-0.4667,0.0029
61,-0.9451,-1.0000,-0.4667,0.0024
62,-0.9453,-1.0000,-0.4667,0.0019
63,-0.9454,-1.0000,-0.4667,0.0016
64,-0.9455,-1.0000,-0.4667,0.0013
65,-0.9457,-1.0000,-0.4667,0.0010
66,-0.9458,-1.0000,-0.4667,0.0008
67,-0.9458,-1.0000,-0.4667,0.0007
68,-0.9459,-1.0000,-0.4667,0.0005
69,-0.9460,-1.0000,-0.4667,0.0004
70,-0.9461,-1.0000,-0.4667,0.0004
