B	  2.411510	 -2.752496
B	  3.307525	 -6.887782
B	 -0.163779	  0.012706
B	  1.457922	 -0.347746
A	  5.815685	  3.520988
B	  1.074400	 -0.536875
B	  2.208618	 -4.031647
A	  7.417405	 -2.056156
B	  2.865837	 -2.079180
B	  2.784810	 -1.247884
B	  0.155505	  0.463196
A	 -3.706810	 -3.107487
A	  3.949732	  0.127596
B	  2.309887	 -1.873066
B	  2.430233	 -5.353957
B	  0.000690	  0.375764
A	  4.431985	  4.190834
A	 -1.023431	 -0.576634
B	  3.495351	 -3.129010
A	  3.795895	  5.064028
A	  5.388342	  6.290064
B	  2.376589	 -5.378347
B	  2.564924	 -7.492405
A	  2.152186	  5.638664
A	  4.446387	  1.692774
A	  4.993868	  5.231333
B	  2.659885	 -6.596971
A	 -4.665949	  3.347262
B	  1.868428	 -4.071651
A	 -1.123345	 -4.108904
B	  4.061385	 -3.513084
A	  4.751338	 -2.450105
A	 -5.159769	  4.461072
A	 -1.663443	 -0.958986
A	  2.280970	  5.264673
A	  4.031260	 -1.311888
A	 -1.746017	 -1.379488
A	 -3.041649	 -3.171339
A	 -3.404302	  0.559512
B	  2.494780	 -3.889171
B	  5.099144	 -8.256101
A	  4.876237	  5.434384
A	 -1.301661	 -4.008289
A	 -1.743096	 -0.899578
A	 -5.163064	  0.417968
A	  7.109769	  1.596423
B	  5.085033	 -8.023750
B	  3.538275	 -5.294223
A	  2.351391	  3.787505
B	  2.531685	 -6.129823
A	 -5.116929	  3.885108
B	  2.556504	 -7.025143
A	 -4.325179	  3.413589
B	  1.085704	 -0.672616
A	 -3.527407	 -4.757469
A	 -2.437656	  2.362099
B	  3.254535	 -6.113568
B	  1.109772	  0.192889
B	  3.432360	 -2.692622
A	  4.920955	 -1.555775
A	 -1.974758	 -0.323457
A	  7.094106	  0.310857
A	 -3.268630	  1.733523
A	 -1.694308	  0.816211
A	  4.362369	 -0.154163
A	  2.572720	  3.309498
B	  4.190108	 -4.261368
A	  4.235324	  1.687059
B	  2.193876	 -3.685911
A	  4.427478	  6.941440
A	 -5.029865	  0.448834
B	  1.580607	 -3.108869
B	  2.712563	 -0.206760
A	 -1.293406	 -4.050642
A	 -2.873908	 -0.797512
A	 -4.684017	  1.104975
A	 -1.921184	 -0.399836
A	 -2.635674	  3.088936
B	  1.559694	 -2.766199
B	  1.900532	 -1.208219
B	  2.697812	 -4.272610
A	 -5.622634	  1.852369
B	  3.065472	 -3.023123
A	  3.044738	  1.949959
A	 -1.482916	 -2.278128
A	  3.534751	  0.189173
B	  3.118857	 -1.992771
A	  2.927757	  2.432298
B	  3.277139	 -1.841279
A	  6.563596	 -0.740561
A	 -1.974044	  0.767279
B	  4.036381	 -7.659649
B	  3.457212	 -7.317097
B	  2.930234	 -5.912500
B	  3.720497	 -6.569737
B	  1.805330	 -3.582800
A	  5.068993	  0.151467
B	  3.000936	 -3.722819
A	  6.037220	  2.214485
A	 -5.343930	  2.385090
A	 -2.042019	 -4.838531
B	  0.746098	 -1.940629
B	  0.963180	 -0.697804
A	  5.137050	  5.745644
A	 -4.782809	  2.650080
A	  6.650006	 -1.552330
A	  7.145272	 -2.371648
A	  5.337295	  3.650810
B	  4.355140	 -5.418837
A	  4.641614	  3.785443
A	  7.371492	 -1.279364
B	  5.194608	 -7.042748
A	  4.375898	  0.005549
B	  2.058545	 -3.328179
B	  3.171297	 -0.768712
